unit_id,logical_edge_id,hybrid_group,path_option,segment_index,segment_from,segment_to,edge_flow
S_m0003_a0001_j0002,upper_arm,S_m0003_a0001_j0002:upper_arm,long,1,upper_arm__H1,branch,3
S_m0003_a0001_j0002,left_arm,S_m0003_a0001_j0002:left_arm,base,0,branch,left,1
S_m0003_a0001_j0002,right_arm,S_m0003_a0001_j0002:right_arm,base,0,branch,right,2
S_m0003_a0001_j0003,upper_arm,S_m0003_a0001_j0003:upper_arm,short,0,upper,branch,3
S_m0003_a0001_j0003,upper_arm,S_m0003_a0001_j0003:upper_arm,long,0,upper,upper_arm__H1,3
S_m0003_a0001_j0003,upper_arm,S_m0003_a0001_j0003:upper_arm,long,1,upper_arm__H1,branch,3
S_m0003_a0001_j0003,left_arm,S_m0003_a0001_j0003:left_arm,base,0,branch,left,1
S_m0003_a0001_j0003,right_arm,S_m0003_a0001_j0003:right_arm,base,0,branch,right,2
S_m0003_a0001_j0004,upper_arm,S_m0003_a0001_j0004:upper_arm,short,0,upper,branch,3
S_m0003_a0001_j0004,upper_arm,S_m0003_a0001_j0004:upper_arm,long,0,upper,upper_arm__H1,3
S_m0003_a0001_j0004,upper_arm,S_m0003_a0001_j0004:upper_arm,long,1,upper_arm__H1,branch,3
S_m0003_a0001_j0004,left_arm,S_m0003_a0001_j0004:left_arm,base,0,branch,left,1
S_m0003_a0001_j0004,right_arm,S_m0003_a0001_j0004:right_arm,base,0,branch,right,2
S_m0003_a0001_j0005,upper_arm,S_m0003_a0001_j0005:upper_arm,short,0,upper,branch,3
S_m0003_a0001_j0005,upper_arm,S_m0003_a0001_j0005:upper_arm,long,0,upper,upper_arm__H1,3
S_m0003_a0001_j0005,upper_arm,S_m0003_a0001_j0005:upper_arm,long,1,upper_arm__H1,branch,3
S_m0003_a0001_j0005,left_arm,S_m0003_a0001_j0005:left_arm,base,0,branch,left,1
S_m0003_a0001_j0005,right_arm,S_m0003_a0001_j0005:right_arm,base,0,branch,right,2
S_m0003_a0001_j0006,upper_arm,S_m0003_a0001_j0006:upper_arm,short,0,upper,branch,3
S_m0003_a0001_j0006,upper_arm,S_m0003_a0001_j0006:upper_arm,long,0,upper,upper_arm__H1,3
S_m0003_a0001_j0006,upper_arm,S_m0003_a0001_j0006:upper_arm,long,1,upper_arm__H1,branch,3
S_m0003_a0001_j0006,left_arm,S_m0003_a0001_j0006:left_arm,base,0,branch,left,1
S_m0003_a0001_j0006,right_arm,S_m0003_a0001_j0006:right_arm,base,0,branch,right,2
S_m0003_a0001_j0007,upper_arm,S_m0003_a0001_j0007:upper_arm,short,0,upper,branch,3
S_m0003_a0001_j0007,upper_arm,S_m0003_a0001_j0007:upper_arm,long,0,upper,upper_arm__H1,3
S_m0003_a0001_j0007,upper_arm,S_m0003_a0001_j0007:upper_arm,long,1,upper_arm__H1,branch,3
S_m0003_a0001_j0007,left_arm,S_m0003_a0001_j0007:left_arm,base,0,branch,left,1
S_m0003_a0001_j0007,right_arm,S_m0003_a0001_j0007:right_arm,base,0,branch,right,2
S_m0003_a0001_j0008,upper_arm,S_m0003_a0001_j0008:upper_arm,short,0,upper,branch,3
S_m0003_a0001_j0008,upper_arm,S_m0003_a0001_j0008:upper_arm,long,0,upper,upper_arm__H1,3
S_m0003_a0001_j0008,upper_arm,S_m0003_a0001_j0008:upper_arm,long,1,upper_arm__H1,branch,3
S_m0003_a0001_j0008,left_arm,S_m0003_a0001_j0008:left_arm,base,0,branch,left,1
S_m0003_a0001_j0008,right_arm,S_m0003_a0001_j0008:right_arm,base,0,branch,right,2
S_m0003_a0001_j0009,upper_arm,S_m0003_a0001_j0009:upper_arm,short,0,upper,branch,3
S_m0003_a0001_j0009,upper_arm,S_m0003_a0001_j0009:upper_arm,long,0,upper,upper_arm__H1,3
S_m0003_a0001_j0009,upper_arm,S_m0003_a0001_j0009:upper_arm,long,1,upper_arm__H1,branch,3
S_m0003_a0001_j0009,left_arm,S_m0003_a0001_j0009:left_arm,base,0,branch,left,1
S_m0003_a0001_j0009,right_arm,S_m0003_a0001_j0009:right_arm,base,0,branch,right,2
S_m0004_a0001_j0000,upper_arm,S_m0004_a0001_j0000:upper_arm,short,0,upper,branch,4
S_m0004_a0001_j0000,upper_arm,S_m0004_a0001_j0000:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0001_j0000,upper_arm,S_m0004_a0001_j0000:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0001_j0000,left_arm,S_m0004_a0001_j0000:left_arm,base,0,branch,left,1
S_m0004_a0001_j0000,right_arm,S_m0004_a0001_j0000:right_arm,base,0,branch,right,3
S_m0004_a0001_j0001,upper_arm,S_m0004_a0001_j0001:upper_arm,short,0,upper,branch,4
S_m0004_a0001_j0001,upper_arm,S_m0004_a0001_j0001:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0001_j0001,upper_arm,S_m0004_a0001_j0001:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0001_j0001,left_arm,S_m0004_a0001_j0001:left_arm,base,0,branch,left,1
S_m0004_a0001_j0001,right_arm,S_m0004_a0001_j0001:right_arm,base,0,branch,right,3
S_m0004_a0001_j0002,upper_arm,S_m0004_a0001_j0002:upper_arm,short,0,upper,branch,4
S_m0004_a0001_j0002,upper_arm,S_m0004_a0001_j0002:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0001_j0002,upper_arm,S_m0004_a0001_j0002:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0001_j0002,left_arm,S_m0004_a0001_j0002:left_arm,base,0,branch,left,1
S_m0004_a0001_j0002,right_arm,S_m0004_a0001_j0002:right_arm,base,0,branch,right,3
S_m0004_a0001_j0003,upper_arm,S_m0004_a0001_j0003:upper_arm,short,0,upper,branch,4
S_m0004_a0001_j0003,upper_arm,S_m0004_a0001_j0003:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0001_j0003,upper_arm,S_m0004_a0001_j0003:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0001_j0003,left_arm,S_m0004_a0001_j0003:left_arm,base,0,branch,left,1
S_m0004_a0001_j0003,right_arm,S_m0004_a0001_j0003:right_arm,base,0,branch,right,3
S_m0004_a0001_j0004,upper_arm,S_m0004_a0001_j0004:upper_arm,short,0,upper,branch,4
S_m0004_a0001_j0004,upper_arm,S_m0004_a0001_j0004:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0001_j0004,upper_arm,S_m0004_a0001_j0004:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0001_j0004,left_arm,S_m0004_a0001_j0004:left_arm,base,0,branch,left,1
S_m0004_a0001_j0004,right_arm,S_m0004_a0001_j0004:right_arm,base,0,branch,right,3
S_m0004_a0001_j0005,upper_arm,S_m0004_a0001_j0005:upper_arm,short,0,upper,branch,4
S_m0004_a0001_j0005,upper_arm,S_m0004_a0001_j0005:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0001_j0005,upper_arm,S_m0004_a0001_j0005:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0001_j0005,left_arm,S_m0004_a0001_j0005:left_arm,base,0,branch,left,1
S_m0004_a0001_j0005,right_arm,S_m0004_a0001_j0005:right_arm,base,0,branch,right,3
S_m0004_a0001_j0006,upper_arm,S_m0004_a0001_j0006:upper_arm,short,0,upper,branch,4
S_m0004_a0001_j0006,upper_arm,S_m0004_a0001_j0006:upper_arm,long,0,upper,upper_arm__H1,4
S_m0004_a0001_j0006,upper_arm,S_m0004_a0001_j0006:upper_arm,long,1,upper_arm__H1,branch,4
S_m0004_a0001_j0006,left_arm,S_m0004_a0001_j0006:left_arm,base,0,branch,left,1
S_m0004_a0001_j0006,right_arm,S_m0004_a0001_j0006:right_arm,base,0,branch,right,3
S_m0004_a0002_j0000,upper_arm,S_m0004_a0002_j0000:upper_arm,short,0,upper,branch,4
