unit_id,logical_edge_id,endpoint_a,endpoint_b,edge_flow
S_m0007_a0001_j0002,upper_arm,upper,branch,7
S_m0007_a0001_j0002,left_arm,branch,left,1
S_m0007_a0001_j0002,right_arm,branch,right,6
S_m0007_a0001_j0003,upper_arm,upper,branch,7
S_m0007_a0001_j0003,left_arm,branch,left,1
S_m0007_a0001_j0003,right_arm,branch,right,6
S_m0007_a0002_j0000,upper_arm,upper,branch,7
S_m0007_a0002_j0000,left_arm,branch,left,2
S_m0007_a0002_j0000,right_arm,branch,right,5
S_m0007_a0002_j0001,upper_arm,upper,branch,7
S_m0007_a0002_j0001,left_arm,branch,left,2
S_m0007_a0002_j0001,right_arm,branch,right,5
S_m0007_a0002_j0002,upper_arm,upper,branch,7
S_m0007_a0002_j0002,left_arm,branch,left,2
S_m0007_a0002_j0002,right_arm,branch,right,5
S_m0007_a0002_j0003,upper_arm,upper,branch,7
S_m0007_a0002_j0003,left_arm,branch,left,2
S_m0007_a0002_j0003,right_arm,branch,right,5
S_m0007_a0003_j0000,upper_arm,upper,branch,7
S_m0007_a0003_j0000,left_arm,branch,left,3
S_m0007_a0003_j0000,right_arm,branch,right,4
S_m0007_a0003_j0001,upper_arm,upper,branch,7
S_m0007_a0003_j0001,left_arm,branch,left,3
S_m0007_a0003_j0001,right_arm,branch,right,4
S_m0007_a0003_j0002,upper_arm,upper,branch,7
S_m0007_a0003_j0002,left_arm,branch,left,3
S_m0007_a0003_j0002,right_arm,branch,right,4
S_m0007_a0003_j0003,upper_arm,upper,branch,7
S_m0007_a0003_j0003,left_arm,branch,left,3
S_m0007_a0003_j0003,right_arm,branch,right,4
S_m0008_a0001_j0000,upper_arm,upper,branch,8
S_m0008_a0001_j0000,left_arm,branch,left,1
S_m0008_a0001_j0000,right_arm,branch,right,7
S_m0008_a0001_j0001,upper_arm,upper,branch,8
S_m0008_a0001_j0001,left_arm,branch,left,1
S_m0008_a0001_j0001,right_arm,branch,right,7
S_m0008_a0001_j0002,upper_arm,upper,branch,8
S_m0008_a0001_j0002,left_arm,branch,left,1
S_m0008_a0001_j0002,right_arm,branch,right,7
S_m0008_a0002_j0000,upper_arm,upper,branch,8
S_m0008_a0002_j0000,left_arm,branch,left,2
S_m0008_a0002_j0000,right_arm,branch,right,6
S_m0008_a0002_j0001,upper_arm,upper,branch,8
S_m0008_a0002_j0001,left_arm,branch,left,2
S_m0008_a0002_j0001,right_arm,branch,right,6
S_m0008_a0002_j0002,upper_arm,upper,branch,8
S_m0008_a0002_j0002,left_arm,branch,left,2
S_m0008_a0002_j0002,right_arm,branch,right,6
S_m0008_a0003_j0000,upper_arm,upper,branch,8
S_m0008_a0003_j0000,left_arm,branch,left,3
S_m0008_a0003_j0000,right_arm,branch,right,5
S_m0008_a0003_j0001,upper_arm,upper,branch,8
S_m0008_a0003_j0001,left_arm,branch,left,3
S_m0008_a0003_j0001,right_arm,branch,right,5
S_m0008_a0003_j0002,upper_arm,upper,branch,8
S_m0008_a0003_j0002,left_arm,branch,left,3
S_m0008_a0003_j0002,right_arm,branch,right,5
S_m0008_a0004_j0000,upper_arm,upper,branch,8
S_m0008_a0004_j0000,left_arm,branch,left,4
S_m0008_a0004_j0000,right_arm,branch,right,4
S_m0008_a0004_j0001,upper_arm,upper,branch,8
S_m0008_a0004_j0001,left_arm,branch,left,4
S_m0008_a0004_j0001,right_arm,branch,right,4
S_m0008_a0004_j0002,upper_arm,upper,branch,8
S_m0008_a0004_j0002,left_arm,branch,left,4
S_m0008_a0004_j0002,right_arm,branch,right,4
S_m0009_a0001_j0000,upper_arm,upper,branch,9
S_m0009_a0001_j0000,left_arm,branch,left,1
S_m0009_a0001_j0000,right_arm,branch,right,8
S_m0009_a0001_j0001,upper_arm,upper,branch,9
S_m0009_a0001_j0001,left_arm,branch,left,1
S_m0009_a0001_j0001,right_arm,branch,right,8
S_m0009_a0001_j0002,upper_arm,upper,branch,9
S_m0009_a0001_j0002,left_arm,branch,left,1
S_m0009_a0001_j0002,right_arm,branch,right,8
S_m0009_a0002_j0000,upper_arm,upper,branch,9
S_m0009_a0002_j0000,left_arm,branch,left,2
S_m0009_a0002_j0000,right_arm,branch,right,7
S_m0009_a0002_j0001,upper_arm,upper,branch,9
S_m0009_a0002_j0001,left_arm,branch,left,2
S_m0009_a0002_j0001,right_arm,branch,right,7
S_m0009_a0002_j0002,upper_arm,upper,branch,9
S_m0009_a0002_j0002,left_arm,branch,left,2
S_m0009_a0002_j0002,right_arm,branch,right,7
S_m0009_a0003_j0000,upper_arm,upper,branch,9
S_m0009_a0003_j0000,left_arm,branch,left,3
S_m0009_a0003_j0000,right_arm,branch,right,6
S_m0009_a0003_j0001,upper_arm,upper,branch,9
S_m0009_a0003_j0001,left_arm,branch,left,3
S_m0009_a0003_j0001,right_arm,branch,right,6
S_m0009_a0003_j0002,upper_arm,upper,branch,9
S_m0009_a0003_j0002,left_arm,branch,left,3
S_m0009_a0003_j0002,right_arm,branch,right,6
S_m0009_a0004_j0000,upper_arm,upper,branch,9
S_m0009_a0004_j0000,left_arm,branch,left,4
S_m0009_a0004_j0000,right_arm,branch,right,5
S_m0009_a0004_j0001,upper_arm,upper,branch,9
S_m0009_a0004_j0001,left_arm,branch,left,4
S_m0009_a0004_j0001,right_arm,branch,right,5
S_m0009_a0004_j0002,upper_arm,upper,branch,9
S_m0009_a0004_j0002,left_arm,branch,left,4
S_m0009_a0004_j0002,right_arm,branch,right,5
S_m0010_a0001_j0000,upper_arm,upper,branch,10
S_m0010_a0001_j0000,left_arm,branch,left,1
S_m0010_a0001_j0000,right_arm,branch,right,9
S_m0010_a0001_j0001,upper_arm,upper,branch,10
S_m0010_a0001_j0001,left_arm,branch,left,1
S_m0010_a0001_j0001,right_arm,branch,right,9
S_m0010_a0001_j0002,upper_arm,upper,branch,10
S_m0010_a0001_j0002,left_arm,branch,left,1
S_m0010_a0001_j0002,right_arm,branch,right,9
S_m0010_a0002_j0000,upper_arm,upper,branch,10
S_m0010_a0002_j0000,left_arm,branch,left,2
S_m0010_a0002_j0000,right_arm,branch,right,8
